date,value
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,1
2020-03-01,1
2020-03-02,6
2020-03-03,7
2020-03-04,11
2020-03-05,12
2020-03-06,14
2020-03-07,17
2020-03-08,21
2020-03-09,22
2020-03-10,28
2020-03-11,33
2020-03-12,43
2020-03-13,52
2020-03-14,58
2020-03-15,70
2020-03-16,97
2020-03-17,131
2020-03-18,188
2020-03-19,265
2020-03-20,362
2020-03-21,456
2020-03-22,601
2020-03-23,784
2020-03-24,1021
2020-03-25,1333
2020-03-26,1746
2020-03-27,2300
2020-03-28,2934
2020-03-29,3561
2020-03-30,4381
2020-03-31,5605
2020-04-01,6846
2020-04-02,8432
2020-04-03,9747
2020-04-04,11031
2020-04-05,12470
2020-04-06,14138
2020-04-07,16447
2020-04-08,18563
2020-04-09,20638
2020-04-10,22731
2020-04-11,24777
2020-04-12,26548
2020-04-13,28376
2020-04-14,30780
2020-04-15,33329
2020-04-16,35442
2020-04-17,38056
2020-04-18,40442
2020-04-19,41671
2020-04-20,43466
2020-04-21,45923
2020-04-22,48312
2020-04-23,50749
2020-04-24,52867
2020-04-25,54517
2020-04-26,55810
2020-04-27,57235
2020-04-28,59454
2020-04-29,61960
2020-04-30,64256
2020-05-01,66125
2020-05-02,67681
2020-05-03,68777
2020-05-04,70086
2020-05-05,72393
2020-05-06,74851
2020-05-07,76770
2020-05-08,78497
2020-05-09,79976
2020-05-10,80855
2020-05-11,81868
2020-05-12,83483
2020-05-13,85234
2020-05-14,87008
2020-05-15,88669
2020-05-16,89892
2020-05-17,90644
2020-05-18,91414
2020-05-19,92965
2020-05-20,94533
2020-05-21,95756
2020-05-22,97025
2020-05-23,98146
2020-05-24,98754
2020-05-25,99267
2020-05-26,99952
2020-05-27,101461
2020-05-28,102643
2020-05-29,103809
2020-05-30,104778
2020-05-31,105364
2020-06-01,106136
2020-06-02,107169
2020-06-03,108159
2020-06-04,109168
2020-06-05,110138
2020-06-06,110818
2020-06-07,111269
2020-06-08,111774
2020-06-09,112714
2020-06-10,113631
2020-06-11,114512
2020-06-12,115334
2020-06-13,116084
2020-06-14,116382
2020-06-15,116773
2020-06-16,117612
2020-06-17,118363
2020-06-18,119067
2020-06-19,119739
2020-06-20,120349
2020-06-21,120604
2020-06-22,121010
2020-06-23,121847
2020-06-24,122604
2020-06-25,125026
2020-06-26,125631
2020-06-27,126120
2020-06-28,126361
2020-06-29,126711
2020-06-30,127432
2020-07-01,128105
2020-07-02,128803
2020-07-03,129442
2020-07-04,129689
2020-07-05,129960
2020-07-06,130285
2020-07-07,131480
2020-07-08,132300
2020-07-09,133290
2020-07-10,134101
2020-07-11,134777
2020-07-12,135205
2020-07-13,135566
2020-07-14,136466
2020-07-15,137415
2020-07-16,138358
2020-07-17,139266
2020-07-18,140119
2020-07-19,140534
2020-07-20,141025
2020-07-21,142121
2020-07-22,143316
2020-07-23,144430
2020-07-24,145560
2020-07-25,146465
2020-07-26,146935
2020-07-27,148012
2020-07-28,149374
2020-07-29,150822
2020-07-30,152055
2020-07-31,153314
2020-08-01,154447
