forecast_date,target_end_date,value,z
2020-04-13,2020-04-13,28376,1
2020-04-13,2020-04-18,31647.198,1
2020-04-13,2020-04-25,51036.091,1
2020-04-13,2020-05-02,70037.94975,1
2020-04-13,2020-05-09,88911.994,1
2020-04-13,2020-05-16,105921.02475,1
2020-04-13,2020-05-23,120663.354,1
2020-04-27,2020-04-27,57235,2
2020-04-27,2020-05-02,62752.2064327497,2
2020-04-27,2020-05-09,73704.3848049963,2
2020-04-27,2020-05-16,82882.5770168297,2
2020-04-27,2020-05-23,90694.6037586878,2
2020-05-04,2020-05-04,70086,3
2020-05-04,2020-05-09,76459.7608007002,3
2020-05-04,2020-05-16,86458.2973289311,3
2020-05-04,2020-05-23,95013.946882496,3
2020-05-04,2020-05-30,102954.971130752,3
2020-05-11,2020-05-11,81868,4
2020-05-11,2020-05-16,88769.8640033404,4
2020-05-11,2020-05-23,97787.6294873127,4
2020-05-11,2020-05-30,105605.305273187,4
2020-05-11,2020-06-06,112647.278577088,4
2020-05-18,2020-05-18,91414,5
2020-05-18,2020-05-23,97571.6768101288,5
2020-05-18,2020-05-30,104399.339413103,5
2020-05-18,2020-06-06,109454.479178455,5
2020-05-18,2020-06-13,113363.526603905,5
2020-05-25,2020-05-25,99267,6
2020-05-25,2020-05-30,104492.162277987,6
2020-05-25,2020-06-06,111433.994107349,6
2020-05-25,2020-06-13,117606.896892468,6
2020-05-25,2020-06-20,123247.164701113,6
2020-06-01,2020-06-01,106136,7
2020-06-01,2020-06-06,109916.611605585,7
2020-06-01,2020-06-13,115965.995705025,7
2020-06-01,2020-06-20,121663.623243809,7
2020-06-01,2020-06-27,127229.609673363,7
2020-06-08,2020-06-08,111774,8
2020-06-08,2020-06-13,115494.169650723,8
2020-06-08,2020-06-20,120787.453055409,8
2020-06-08,2020-06-27,125734.10052736,8
2020-06-08,2020-07-04,130558.14091715,8
2020-06-15,2020-06-15,116773,9
2020-06-15,2020-06-20,120731.75955486,9
2020-06-15,2020-06-27,125945.255317321,9
2020-06-15,2020-07-04,130781.586806025,9
2020-06-15,2020-07-11,135461.218228377,9
2020-06-22,2020-06-22,121010,10
2020-06-22,2020-06-27,124919.837916618,10
2020-06-22,2020-07-04,129976.081308443,10
2020-06-22,2020-07-11,134759.275312417,10
2020-06-22,2020-07-18,139276.259096453,10
2020-06-29,2020-06-29,126711,11
2020-06-29,2020-07-04,130539.828262718,11
2020-06-29,2020-07-11,136197.978523362,11
2020-06-29,2020-07-18,141982.1133188,11
2020-06-29,2020-07-25,147865.485288307,11
2020-07-06,2020-07-06,130285,12
2020-07-06,2020-07-11,133482.377733105,12
2020-07-06,2020-07-18,137846.274671162,12
2020-07-06,2020-07-25,142472.698684892,12
2020-07-06,2020-08-01,147465.973542393,12
2020-07-13,2020-07-13,135566,13
2020-07-13,2020-07-18,139718.456314792,13
2020-07-13,2020-07-25,145316.001417809,13
2020-07-13,2020-08-01,151158.485223983,13
2020-07-13,2020-08-08,157204.068056513,13
2020-07-20,2020-07-20,141025,14
2020-07-20,2020-07-25,145613,14
2020-07-20,2020-08-01,151718,14
2020-07-20,2020-08-08,158017,14
2020-07-20,2020-08-15,164477,14
2020-07-27,2020-07-27,148012,15
2020-07-27,2020-08-01,153024,15
2020-07-27,2020-08-08,159956,15
2020-07-27,2020-08-15,166748,15
2020-07-27,2020-08-22,173270,15
